user_id,actual_latitude,actual_longitude,predicted_latitude,predicted_longitude,error_m
009,39.907298,116.242122,39.90717131199998,116.242595907,42.80663870320328
144,40.035475,116.4098433,40.035850830800015,116.40968347180005,43.949938260102584
068,39.997085,116.401561,39.99698565133329,116.40159612966686,11.445202703946226
018,40.1069699,116.5564083,40.107431964,116.5563890580001,51.405227210540936
115,39.965915,116.5196716,39.965219758,116.51988542700008,79.42612888556316
144,40.043052,116.421671,40.04351822089001,116.42266155895997,98.98395667776487
096,39.981488,116.329337,39.98151252333334,116.32934181333327,2.7575375324669484
030,40.0052,116.321028,40.00526897700004,116.32092557499995,11.61610994089529
082,46.774369,-121.769716,47.44707102799999,-121.66442373800005,75224.24633228412
068,39.978029,116.418083,39.97807603499998,116.41810804699999,5.648738669749921
068,40.00473,116.310866,40.00476722600001,116.31072942300005,12.34736664787761
122,40.968514,117.930877,40.968471783999995,117.930738316,12.554525183586648
068,39.968736,116.423157,39.968914038,116.42297040900003,25.392200655938677
030,39.485575,116.315439,39.459961251666684,116.32629469333317,2996.6675031354443
096,40.00776,116.319328,40.007752560000014,116.3193046999999,2.150011213196886
068,39.994662,116.417835,39.99484138,116.41789476600005,20.585670096193468
068,39.969283,116.419806,39.96931821799997,116.41984086999987,4.915870210938456
030,40.001284,116.321749,40.001338774000004,116.32174934400001,6.090661396181861
165,39.97473,116.31051,39.97476279633335,116.31055318588884,5.18083427781667
030,40.001226,116.324665,40.00123314600003,116.32468658566673,2.002993436120927
119,39.953772,116.493339,39.954000607999994,116.49381915599989,48.179171193630864
029,39.84779,116.464799,39.848257667333364,116.46457949066668,55.275654278132315
144,40.0591499,116.5996649,40.05828530600001,116.60097557599998,147.25991872802518
068,39.993205,116.416946,39.99292127800001,116.4175507096666,60.40740051539023
068,39.986236,116.417215,39.986381290000026,116.41747715999989,27.56569646118923
172,34.3651633,109.2077049,34.37997932000002,109.18870862099993,2398.7002281878385
042,39.8342866,116.3398416,39.833805542000015,116.33972549799996,54.40210247424878
068,39.994917,116.418276,39.995315892,116.41795284400001,52.2030889815673
172,62.4558166,-150.1374466,55.490658443999955,-151.38530245100014,777747.6975860283
096,40.005484,116.32221,40.005471100000015,116.3221824100001,2.7531324427723955
030,39.999291,116.326766,39.99934936999999,116.3268802899999,11.700552154235812
068,40.141099,116.256649,40.141073241666646,116.25583123033337,69.5726724804799
144,40.0133683,115.7050466,40.014047226,115.70489751,76.55341501749307
068,39.983791,116.418148,39.9840428623333,116.41797450766667,31.66735453676045
068,39.980463,116.41402,39.980679538666664,116.41372625433323,34.73000718006554
082,39.966541,116.334358,39.96650703899999,116.33451568199996,13.958494248683325
096,40.03487,116.31265,40.03498191899999,116.31251100933326,17.17260474548569
024,40.059714,116.318629,40.059564282333326,116.31859481799998,16.900104385721935
019,39.8727299,116.381375,39.87276728394974,116.38131561132613,6.554851902395149
068,39.960852,116.418718,39.960885928,116.41875862100005,5.120423308034671
144,40.027454,116.432956,40.02751429984998,116.43249746065004,39.614336672395645
068,39.996777,116.418024,39.99674227699998,116.41814618100007,11.100987569576866
016,39.980052,116.327115,39.980022895333335,116.32713115933328,3.5170044719823204
082,40.052553,116.400202,40.052589660000024,116.40027531999998,7.4540083579818965
030,39.945849,116.784145,39.94539716999995,116.78541371999992,119.25551884139955
068,39.973283,116.420354,39.973185559999976,116.42008015599986,25.72794552538156
042,39.9754033,116.3276449,39.975406372666704,116.32761805366663,2.3129750028277005
066,39.874015,116.234707,39.87386402399999,116.23581624499998,96.13709409794515
144,36.506526,94.955241,36.51181535999997,94.96010775000008,731.5137283574172
174,39.9681333333333,116.31415,39.96794612578061,116.31400448169008,24.230453462563815
018,39.9573666,116.3187716,39.959199780999995,116.31889919733335,204.13033622360803
068,39.990358,116.417733,39.99045037800001,116.41776753200006,10.68493292597237
016,40.085419,116.338255,40.085571109000014,116.33783890700006,39.23172309872424
068,39.988318,116.41754,39.98829121266667,116.41753206200012,3.054423153887597
144,35.502579,93.732953,35.50250221000003,93.73894859999993,542.8047758703232
066,39.730487,116.3348,39.73062278499999,116.33413954900003,58.462104663198325
